temperature	 b2xc	 b2xcerr	 b2B	 b2Berr	 b2tot	 b2toterr
60.00	  -22.994304415818732	    0.156752171036162	  -23.012610572157122	    0.160643770510927	  -23.000760000000000	    0.093231430000000
65.00	  -18.453909646540321	    0.140828621195359	  -18.676276500957556	    0.141491010031090	  -18.590451000000002	    0.102482520000000
70.00	  -15.357014527519734	    0.134903026482530	  -15.165074483300165	    0.132737668777202	  -15.234994000000000	    0.097650603000000
75.00	  -12.344218298774390	    0.127844848951376	  -12.366340951975280	    0.129870872661782	  -12.353927000000001	    0.076991686000000
80.00	   -9.617426672908673	    0.119681092105311	   -9.809656470905127	    0.116439155937817	   -9.749465499999999	    0.088323832000000
85.00	   -7.405841124299550	    0.117847202538903	   -7.541216211038985	    0.113744151355052	   -7.501225500000000	    0.087377887000000
90.00	   -5.549018358985374	    0.111172616515706	   -5.521086263243172	    0.110857172606561	   -5.534404800000000	    0.069318366000000
95.00	   -3.834224224688978	    0.106835649484025	   -3.788898083742357	    0.108400394951440	   -3.800389900000000	    0.085330162000000
98.15	   -2.755618453327642	    0.105556794833074	   -2.662996270945817	    0.105397272195599	   -2.685192900000000	    0.084036825000000
100.00	   -2.276677041634009	    0.098647779420377	   -2.271563601850146	    0.101201838256180	   -2.273667900000000	    0.066220260000000
103.15	   -1.336744757494349	    0.099240712772668	   -1.543531896018275	    0.099139312254421	   -1.497526700000000	    0.080182834000000
113.15	    1.243928264893289	    0.090493868710984	    1.184458257151503	    0.088826624267157	    1.195609200000000	    0.074139027000000
123.15	    2.908061964151661	    0.087408477929884	    3.060570412617452	    0.087301933454348	    3.037667800000000	    0.075343828000000
125.00	    3.456719349435322	    0.086531774362997	    3.441942287571053	    0.084890559545023	    3.445889200000000	    0.064339770000000
138.15	    5.527707082741043	    0.082839525948702	    5.430965677757702	    0.082820219406447	    5.441503000000000	    0.074348797000000
150.00	    6.929466412439191	    0.080204764857139	    6.715440715154608	    0.077310551492481	    6.749088900000000	    0.065764452000000
153.15	    7.368569804420582	    0.076337221784677	    7.320748538519898	    0.075132185456366	    7.324314100000000	    0.069762907000000
173.15	    9.187151197493844	    0.073594223501697	    9.175619438680259	    0.068881767095786	    9.176085199999999	    0.066166409000000
